ID,Sana,Xizmat_turi,Sektor,Mintaqa,Kredit_ball,Yosh,Tajriba_yil,DSR,Joriy_kreditlar,Oldingi_default,Garov_sifati,Mulk_turi,LTV,Leverage,Foyda_stavkasi,Muddat_oy,Garov_qiymati_UZS,Moliyalash_UZS,Likvidlik,Kapital_ulushi,Sharia_audit,Gharar_darajasi,Maysir_ekspozitsiyasi,Halal_sertifikat,PLS_ulushi,Sharia_maslahatlari,Ijara_sertifikat,Sukuk_daraja,Volatillik,Inflyatsiya,YIM_osish,Valyuta_tebranishi,Sektor_osish,Bank_indeksi,Likvidlik_muhiti,Credit_LTV_ratio,Gharar_maysir,Risk_adj_ret,DSR_LTV,Macro_stress,Prev_default_rate,Sharia_adj_signal,PD,LGD,EAD_UZS,EL_UZS,VaR_95_kunlik,Sharpe_nisbati,Default
TXN-2021-0014,2021-03-07,Murabaha,Ishlab chiqarish,Andijon,611,43,0.8,0.5091,2,1,3,Sanoat uskunasi,0.6319,1.418,0.0987,24,178111332,163074170,0.7218,0.4941,0.7141,0.2011,0.0312,1,0.1704,3,0,,0.1388,0.0929,0.0783,0.25,0.0023,1.0524,0.787,965.4445,0.2324,0.7057,0.3217,0.2646,0.4998,0.5481,0.1113,0.45,163074170,8168264,-0.0144,-0.2258,0
TXN-2021-0015,2021-03-03,Murabaha,Xizmat,Toshkent,740,33,1.4,0.3371,1,1,4,Ko'chmas mulk,0.8219,0.674,0.126,36,719152672,209299421,0.6235,0.6,0.6603,0.2602,0.2859,1,0.2207,5,0,,0.1211,0.083,0.0538,0.1774,0.0924,0.9839,0.7006,899.2584,0.5461,1.0315,0.2771,0.2066,0.999,0.2997,0.0487,0.45,209299421,4586709,-0.0126,-0.033,0
TXN-2021-0016,2021-07-11,Murabaha,Qurilish,Boshqa,725,45,0.5,0.1148,0,1,4,Ko'chmas mulk,0.4802,3.613,0.1117,24,181101029,383671377,0.6665,0.4572,0.8705,0.1432,0.0934,1,0.3327,2,0,,0.1448,0.1129,0.0355,0.25,0.0605,1.153,0.8155,1506.7388,0.2366,0.7663,0.0551,0.3274,1000.0,0.6646,0.0156,0.45,383671377,2687379,-0.015,-0.1262,0
TXN-2022-0017,2022-03-24,Murabaha,Savdo,Andijon,579,24,5.1,0.258,4,0,3,Transport,0.6053,1.221,0.1521,72,94074602,100358570,0.7017,0.2506,0.7615,0.1207,0.135,1,0.5423,1,0,,0.1262,0.0781,0.0376,0.25,0.0506,0.9693,0.4945,954.9071,0.2558,1.1954,0.1562,0.2905,0.0,0.5667,0.0742,0.45,100358570,3351658,-0.0131,0.1749,0
TXN-2022-0018,2022-04-22,Musharaka,Ishlab chiqarish,Namangan,679,48,5.8,0.2917,3,0,3,Moliyaviy aktiv,0.3645,2.767,0.1955,72,121020917,29601230,0.4852,0.5208,0.725,0.0373,0.1721,1,0.1936,2,0,,0.1995,0.14,0.0533,0.25,0.0528,1.0823,0.7595,1857.6921,0.2094,0.975,0.1063,0.3367,0.0,0.5732,0.1028,0.6,29601230,1825636,-0.0207,0.3283,0
TXN-2023-0019,2023-11-01,Musharaka,IT,Samarqand,562,26,4.2,0.3461,2,0,3,Ko'chmas mulk,0.6912,2.555,0.1747,48,118781516,158162058,0.6847,0.2671,0.8668,0.0569,0.1724,0,0.2725,1,0,,0.2552,0.1242,0.0663,0.25,0.086,0.9189,0.8539,811.8887,0.2293,0.6818,0.2392,0.3079,0.0,0.668,0.2802,0.6,158162058,26593861,-0.0265,0.1751,0
TXN-2024-0020,2024-05-17,Murabaha,Ishlab chiqarish,Toshkent,527,40,10.2,0.509,5,0,3,Ko'chmas mulk,0.5023,2.321,0.1468,36,195376116,210484527,0.4852,0.3729,0.7499,0.5,0.0054,1,0.414,6,0,,0.1608,0.1166,0.0768,0.25,0.0764,1.0549,0.6786,1047.1887,0.5054,0.9072,0.2557,0.2898,0.0,0.3709,0.195,0.45,210484527,18465946,-0.0167,0.1044,0
TXN-2021-0021,2021-02-24,Musharaka,Savdo,Namangan,591,29,11.8,0.588,4,0,1,Sanoat uskunasi,0.4633,5.967,0.1144,24,577211092,101631025,0.4995,0.2038,0.7384,0.0368,0.1472,1,0.8449,1,0,,0.2883,0.0868,0.0883,0.25,0.0969,0.9605,0.6818,1272.9975,0.1841,0.3953,0.2724,0.2485,0.0,0.6024,0.4873,0.6,101631025,29713056,-0.0299,-0.0542,1
TXN-2024-0022,2024-02-24,Murabaha,Savdo,Andijon,718,43,5.7,0.2943,3,0,5,Transport,0.7545,0.04,0.0987,60,82293975,217843977,0.8781,0.1908,0.9188,0.1875,0.1688,1,0.6814,2,0,,0.105,0.097,0.0521,0.25,0.0068,1.0032,0.7797,950.3696,0.3563,0.9307,0.2221,0.2949,0.0,0.5914,0.0146,0.45,217843977,1431054,-0.0109,-0.2982,0
TXN-2022-0023,2022-02-12,Murabaha,Qurilish,Boshqa,726,37,0.5,0.4002,2,0,4,Sanoat uskunasi,0.8235,0.176,0.1882,12,678668299,148465458,0.6061,0.4208,0.9568,0.4076,0.2527,1,0.3806,0,0,,0.12,0.0845,0.0416,0.25,0.0312,1.1154,0.5071,880.4911,0.6603,1.5551,0.3296,0.2929,0.0,0.325,0.0376,0.45,148465458,2514895,-0.0124,0.485,0
TXN-2024-0024,2024-08-23,Murabaha,Ishlab chiqarish,Toshkent,688,22,7.1,0.5307,1,0,4,Boshqa,0.8692,3.202,0.1102,36,159685708,116054235,0.5352,0.4717,0.818,0.07,0.1559,1,0.3334,5,0,,0.0954,0.1127,0.0691,0.2054,0.0824,1.0926,0.7111,790.5831,0.2259,1.1431,0.4613,0.2489,0.0,0.6332,0.0531,0.45,116054235,2772264,-0.0099,-0.2079,0
TXN-2024-0025,2024-12-07,Musharaka,Qurilish,Samarqand,706,42,3.2,0.3038,1,1,4,Boshqa,0.6485,1.091,0.1978,60,171841378,375531221,0.7313,0.4636,0.5008,0.185,0.1147,1,0.8218,1,0,,0.2259,0.0821,0.0506,0.25,0.0384,1.0925,0.7293,1087.0646,0.2997,0.872,0.197,0.2815,0.999,0.3507,0.1554,0.6,375531221,35008290,-0.0234,0.3003,0
TXN-2024-0026,2024-01-22,Ijara,Savdo,Samarqand,688,32,5.0,0.5747,1,1,4,Transport,0.7184,10.767,0.0509,48,150762622,118575561,0.6369,0.3149,0.822,0.1245,0.2612,1,0.7333,0,1,,0.1208,0.1352,0.0624,0.1782,0.0811,1.054,0.6196,956.3712,0.3857,0.4181,0.4128,0.2509,0.999,0.505,0.0396,0.35,118575561,1642500,-0.0125,-0.6548,0
TXN-2023-0027,2023-05-10,Murabaha,Qishloq xo'jaligi,Toshkent,590,46,6.3,0.2486,3,0,5,Transport,0.4374,0.61,0.157,48,177090737,473355219,0.9032,0.372,0.6762,0.1046,0.1694,1,0.2726,0,0,,0.0786,0.0819,0.0538,0.25,0.0453,0.9722,0.478,1345.8566,0.274,1.9718,0.1087,0.2781,0.0,0.491,0.0336,0.45,473355219,7150020,-0.0081,0.3436,1
TXN-2022-0028,2022-03-28,Musharaka,Xizmat,Samarqand,681,38,2.6,0.3925,4,1,3,Moliyaviy aktiv,0.7431,0.507,0.2497,12,208572004,151884164,0.403,0.4859,0.5931,0.0164,0.0853,1,0.2289,2,0,,0.204,0.0607,0.0537,0.25,0.0814,1.0483,0.33,915.2364,0.1017,1.218,0.2917,0.2571,0.2499,0.5328,0.2927,0.6,151884164,26669754,-0.0211,0.5868,0
TXN-2023-0029,2023-07-09,Musharaka,Xizmat,Toshkent,713,41,14.9,0.3876,1,0,4,Ko'chmas mulk,0.8305,2.218,0.1873,24,223377905,82908606,0.6963,0.1348,0.6671,0.1582,0.0945,1,0.5693,1,0,,0.1673,0.1248,0.01,0.25,0.0928,0.8843,0.6052,857.4774,0.2527,1.1129,0.3219,0.3648,0.0,0.4985,0.1522,0.6,82908606,7568822,-0.0173,0.3423,0
TXN-2024-0030,2024-04-21,Murabaha,Qurilish,Andijon,709,28,0.9,0.4938,3,0,3,Transport,0.5533,0.819,0.1468,48,287213914,39093580,0.6385,0.521,0.7447,0.1005,0.0053,0,0.4208,2,0,,0.0878,0.1199,0.0644,0.1434,0.0465,1.0804,0.8306,1279.053,0.1058,1.6534,0.2732,0.1989,0.0,0.6659,0.0516,0.45,39093580,908378,-0.0091,0.1914,0
TXN-2022-0031,2022-07-24,Musharaka,Savdo,Samarqand,746,32,6.7,0.2517,6,0,5,Transport,0.5073,1.041,0.2741,12,68582730,341576531,0.2619,0.2606,0.6072,0.3494,0.3709,1,0.6635,1,0,,0.2091,0.1001,0.0325,0.2062,0.0749,0.9794,0.545,1467.7097,0.7203,1.3044,0.1277,0.2738,0.0,0.1698,0.1074,0.6,341576531,22009686,-0.0217,0.689,0
TXN-2021-0032,2021-01-14,Murabaha,Qishloq xo'jaligi,Toshkent,705,33,0.5,0.5613,1,1,5,Ko'chmas mulk,0.2563,6.347,0.1514,36,222101933,289520426,0.8801,0.3728,0.6027,0.0775,0.2993,1,0.4795,6,0,,0.1127,0.0943,0.0359,0.25,0.1045,0.9992,0.302,2740.2424,0.3767,1.3307,0.1438,0.3084,0.999,0.3756,0.0269,0.45,289520426,3508677,-0.0117,0.1894,0
TXN-2021-0033,2021-11-23,Murabaha,Xizmat,Samarqand,674,46,15.5,0.4778,1,0,5,Boshqa,0.7336,0.066,0.1126,36,324273880,259019588,0.6997,0.4687,0.7672,0.2629,0.0301,1,0.4716,0,0,,0.1279,0.1063,0.01,0.25,0.0309,0.9962,0.5952,917.5319,0.293,0.8739,0.3505,0.3463,0.0,0.5424,0.0353,0.45,259019588,4112592,-0.0133,-0.1358,0
TXN-2024-0034,2024-11-30,Sukuk,Qishloq xo'jaligi,Andijon,735,54,0.7,0.4509,2,0,1,Tovar,0.3933,1.894,0.089,36,232534317,364732342,0.8886,0.2857,0.8857,0.0982,0.114,0,0.633,5,0,BBB,0.0756,0.1142,0.0169,0.25,0.075,1.0991,0.379,1863.8906,0.2122,1.1625,0.1774,0.3473,0.0,0.6978,0.0131,0.28,364732342,1336227,-0.0078,-0.542,0
TXN-2023-0035,2023-05-16,Sukuk,Savdo,Buxoro,642,29,0.6,0.3586,1,0,3,Transport,0.8466,1.02,0.0848,36,205686344,522121323,0.5771,0.4249,0.7684,0.2074,0.1189,1,0.2582,2,0,A,0.0873,0.1212,0.0689,0.2408,0.0875,1.029,0.8226,757.4674,0.3263,0.9601,0.3035,0.2932,0.0,0.5176,0.0325,0.28,522121323,4745175,-0.009,-0.5174,0
TXN-2022-0036,2022-11-28,Ijara,Savdo,Buxoro,570,48,2.4,0.4398,4,0,2,Tovar,0.8114,1.062,0.1492,36,178442260,33194887,0.5831,0.4041,0.608,0.0708,0.2187,0,0.5133,3,1,,0.0945,0.0906,0.0567,0.25,0.0555,0.9791,0.3246,701.591,0.2895,1.5622,0.3569,0.2839,0.0,0.432,0.1674,0.35,33194887,1945209,-0.0098,0.2035,0
TXN-2022-0037,2022-07-24,Murabaha,Qishloq xo'jaligi,Toshkent,631,21,2.8,0.5187,1,0,3,Transport,0.3902,0.712,0.1916,36,457862590,42995833,0.7926,0.3877,0.8023,0.1791,0.1504,1,0.5477,2,0,,0.1206,0.14,0.044,0.25,0.1058,0.8998,0.7138,1613.0133,0.3295,1.5752,0.2024,0.346,0.0,0.5379,0.0585,0.45,42995833,1130988,-0.0125,0.5103,0
TXN-2021-0038,2021-11-15,Murabaha,Savdo,Andijon,581,26,1.4,0.5224,1,0,4,Tovar,0.7656,0.362,0.1827,24,322720855,121900084,0.7469,0.5555,0.8677,0.1733,0.2399,1,0.3221,2,0,,0.1091,0.0847,0.0528,0.25,0.0215,1.1197,0.6565,757.853,0.4132,1.6596,0.3999,0.2819,0.0,0.5092,0.0921,0.45,121900084,5053349,-0.0113,0.483,0
TXN-2022-0039,2022-03-17,Ijara,Qurilish,Andijon,587,28,5.3,0.3673,2,0,3,Ko'chmas mulk,0.3887,0.088,0.0981,24,213239834,294417498,0.5816,0.1081,0.9287,0.3804,0.1501,1,0.5771,2,1,,0.0654,0.0731,0.0321,0.2042,0.0398,1.0675,0.6532,1506.3723,0.5305,1.4779,0.1428,0.2451,0.0,0.436,0.0453,0.35,294417498,4668405,-0.0068,-0.4869,0
TXN-2022-0040,2022-11-21,Musharaka,Savdo,Buxoro,632,24,3.5,0.279,3,1,4,Ko'chmas mulk,0.5611,10.994,0.1843,60,331699306,181650637,0.5589,0.4227,0.7235,0.2194,0.01,1,0.4618,1,0,,0.1828,0.1084,0.0631,0.2349,0.0116,1.0843,0.7368,1124.4286,0.2294,1.0027,0.1565,0.2802,0.3332,0.5575,0.1465,0.6,181650637,15965328,-0.0189,0.2971,0
TXN-2021-0041,2021-07-29,Murabaha,Savdo,Boshqa,577,22,0.5,0.3143,2,0,3,Ko'chmas mulk,0.6139,2.7,0.168,36,423790746,181928813,0.3446,0.4926,0.8411,0.2979,0.2201,0,0.6909,5,0,,0.094,0.0785,0.0643,0.25,0.0695,0.9315,0.6016,938.3013,0.518,1.7681,0.193,0.2642,0.0,0.4054,0.1127,0.45,181928813,9227055,-0.0097,0.4044,0
TXN-2021-0042,2021-07-09,Musharaka,Xizmat,Boshqa,618,42,2.3,0.5283,2,0,5,Transport,0.2216,3.754,0.1099,36,106902439,108658351,0.8127,0.5222,0.9243,0.1754,0.0033,1,0.527,1,0,,0.2549,0.1177,0.0665,0.25,0.0656,0.9057,0.4396,2776.4823,0.1787,0.4297,0.1171,0.3012,0.0,0.7591,0.0723,0.6,108658351,4712224,-0.0264,-0.0787,0
TXN-2023-0043,2023-02-18,Murabaha,Qishloq xo'jaligi,Toshkent,484,35,10.0,0.5472,1,0,3,Ko'chmas mulk,0.7899,0.168,0.1764,36,328930086,82076433,0.7712,0.3202,0.615,0.2158,0.0685,1,0.6894,3,0,,0.1376,0.131,0.0625,0.25,0.0653,0.9728,0.2131,611.9227,0.2843,1.2725,0.4322,0.3185,0.0,0.4402,0.3182,0.45,82076433,11751617,-0.0143,0.3369,0
TXN-2021-0044,2021-07-18,Sukuk,Ishlab chiqarish,Andijon,663,41,7.0,0.555,1,0,3,Ko'chmas mulk,0.4057,0.037,0.1213,24,146844528,138641498,0.6398,0.387,0.7475,0.3725,0.0286,1,0.7164,1,0,A,0.0864,0.1188,0.0151,0.25,0.0635,0.9424,0.7608,1630.3623,0.4011,1.3882,0.2252,0.3538,0.0,0.4477,0.0262,0.28,138641498,1016065,-0.009,-0.1009,0
TXN-2023-0045,2023-01-06,Murabaha,Ishlab chiqarish,Samarqand,645,44,7.7,0.5073,0,0,4,Boshqa,0.7029,2.293,0.164,24,528282778,124195669,0.3862,0.324,0.8809,0.2837,0.1117,1,0.6299,4,0,,0.0902,0.1096,0.0342,0.25,0.0608,0.9599,0.5163,916.2862,0.3954,1.7975,0.3566,0.3254,0.0,0.5325,0.0834,0.45,124195669,4660941,-0.0094,0.3768,0
TXN-2022-0046,2022-12-06,Ijara,Qurilish,Samarqand,575,40,7.2,0.2805,1,0,4,Moliyaviy aktiv,0.8993,3.217,0.1446,36,137208178,108357291,0.3071,0.3827,0.7673,0.086,0.0108,1,0.1413,1,1,,0.118,0.0689,0.0686,0.1902,0.0786,1.0901,0.5228,638.6848,0.0968,1.2158,0.2522,0.1905,0.0,0.693,0.0932,0.35,108357291,3536505,-0.0122,0.1241,0
TXN-2024-0047,2024-05-21,Murabaha,Savdo,Buxoro,701,44,2.2,0.4797,3,0,2,Sanoat uskunasi,0.6266,1.256,0.1367,36,239612146,230519512,0.5008,0.6,0.7485,0.2427,0.0224,1,0.1342,2,0,,0.1251,0.1181,0.0781,0.25,0.06,0.8568,0.7015,1117.0215,0.2651,1.0841,0.3006,0.2899,0.0,0.5501,0.1027,0.45,230519512,10652212,-0.013,0.0535,0
TXN-2022-0048,2022-06-26,Musharaka,Ishlab chiqarish,Toshkent,724,37,0.6,0.5554,0,0,5,Moliyaviy aktiv,0.7082,1.227,0.1299,36,287101394,147384211,0.8193,0.5416,0.5973,0.0918,0.2524,0,0.5342,1,0,,0.2074,0.0733,0.0865,0.25,0.1483,0.9126,0.3386,1020.8522,0.3442,0.6232,0.3934,0.2367,0.0,0.3917,0.1194,0.6,147384211,10559985,-0.0215,-0.0007,0
TXN-2021-0049,2021-03-30,Musharaka,Savdo,Samarqand,508,26,1.9,0.3625,2,0,4,Moliyaviy aktiv,0.5353,1.213,0.2502,24,79925834,202270606,0.6227,0.3897,0.7891,0.0534,0.0984,1,0.5745,2,0,,0.1953,0.093,0.0819,0.25,0.0383,1.1929,0.5284,947.3039,0.1518,1.2748,0.194,0.2611,0.0,0.6692,0.1937,0.6,202270606,23512143,-0.0202,0.6156,0
TXN-2023-0050,2023-07-30,Murabaha,Qurilish,Andijon,580,48,10.7,0.2635,3,0,5,Sanoat uskunasi,0.7157,0.414,0.1418,24,69685955,137250367,0.6914,0.2473,0.8111,0.1239,0.0038,1,0.4457,3,0,,0.0953,0.0636,0.0278,0.25,0.0473,1.0335,0.2622,809.2178,0.1277,1.4729,0.1886,0.2858,0.0,0.7075,0.0403,0.45,137250367,2489383,-0.0099,0.1241,0
TXN-2024-0051,2024-01-04,Sukuk,Qurilish,Namangan,579,32,23.6,0.2666,4,1,5,Transport,0.7774,3.505,0.087,36,189330064,239953115,0.8267,0.3667,0.8263,0.024,0.2119,1,0.0964,2,0,AA,0.0881,0.081,0.0671,0.1548,0.0778,0.9628,0.3412,743.8158,0.236,0.976,0.2072,0.1687,0.2499,0.6313,0.009,0.28,239953115,604554,-0.0091,-0.4886,0
TXN-2021-0052,2021-09-13,Ijara,Ishlab chiqarish,Buxoro,565,28,4.1,0.4723,5,0,4,Moliyaviy aktiv,0.8874,0.606,0.1239,36,666825000,68507917,0.6114,0.6,0.6818,0.1685,0.1642,1,0.3657,2,1,,0.0968,0.105,0.0257,0.25,0.053,0.937,0.4237,636.0086,0.3327,1.2669,0.4191,0.3293,0.0,0.455,0.103,0.35,68507917,2468677,-0.01,-0.0635,0
TXN-2023-0053,2023-02-15,Sukuk,Qurilish,Toshkent,715,36,0.5,0.4216,0,0,5,Sanoat uskunasi,0.3532,0.98,0.103,72,218132822,55147499,0.4283,0.301,0.5957,0.2685,0.3305,1,0.3518,3,0,AA,0.0539,0.1008,0.062,0.25,0.0739,1.0138,0.3206,2018.5107,0.599,1.8753,0.1489,0.2888,0.0,0.2388,0.0148,0.28,55147499,228509,-0.0056,-0.4998,0
TXN-2021-0054,2021-06-11,Sukuk,Savdo,Buxoro,628,28,0.9,0.4557,2,0,5,Ko'chmas mulk,0.6598,2.781,0.0884,12,324998012,117239966,0.6291,0.1556,0.5756,0.2266,0.2007,0,0.4324,2,0,AA,0.061,0.1048,0.0578,0.2429,0.1293,1.0282,0.8274,950.4259,0.4273,1.426,0.3007,0.2899,0.0,0.3296,0.0219,0.28,117239966,719272,-0.0063,-0.6814,0
TXN-2024-0055,2024-02-05,Musharaka,Qurilish,Toshkent,622,33,2.3,0.4139,2,0,5,Transport,0.4617,0.0,0.2126,120,50000000,253449890,0.6941,0.4979,0.45,0.4049,0.0976,1,0.1895,1,0,,0.2641,0.0554,0.0388,0.25,0.0711,1.0975,0.526,1344.3747,0.5025,0.802,0.1911,0.2666,0.0,0.2239,0.2635,0.6,253449890,40064821,-0.0274,0.3129,0
TXN-2022-0056,2022-08-24,Sukuk,Savdo,Toshkent,474,41,5.2,0.4452,1,0,5,Transport,0.775,3.634,0.1479,84,402692793,115175014,0.6569,0.577,0.7653,0.1368,0.309,1,0.3695,1,0,A,0.0789,0.1109,0.0373,0.25,0.0385,0.947,0.5273,610.8338,0.4458,1.8505,0.345,0.3235,0.0,0.4242,0.0617,0.28,115175014,1990778,-0.0082,0.2268,0
TXN-2024-0057,2024-07-11,Murabaha,Qurilish,Andijon,699,41,0.5,0.3818,0,0,5,Moliyaviy aktiv,0.785,5.734,0.0903,36,328103670,616325750,0.65,0.3494,0.9221,0.1793,0.2336,1,0.3719,5,0,,0.1316,0.139,0.0443,0.25,0.0794,1.0393,0.2857,889.3358,0.4129,0.6806,0.2997,0.3447,0.0,0.5414,0.0316,0.45,616325750,8755929,-0.0136,-0.3018,0
TXN-2024-0058,2024-06-20,Murabaha,Savdo,Toshkent,539,29,17.2,0.3435,1,1,3,Sanoat uskunasi,0.7105,0.132,0.0912,48,362483280,72726556,0.7631,0.414,0.8017,0.1498,0.1098,1,0.8367,1,0,,0.1085,0.0782,0.0648,0.25,0.0717,0.9044,0.7076,757.6064,0.2596,0.8329,0.2441,0.2634,0.999,0.5936,0.1015,0.45,72726556,3322007,-0.0112,-0.3572,0
TXN-2023-0059,2023-01-11,Murabaha,Savdo,Andijon,650,33,2.7,0.2683,3,0,3,Tovar,0.6942,2.239,0.1894,72,250524129,129596972,0.6314,0.6,0.8978,0.0559,0.2646,1,0.459,3,0,,0.1551,0.0918,0.0754,0.1008,0.0878,0.9619,0.6922,934.9907,0.3205,1.2131,0.1863,0.1172,0.0,0.6101,0.0649,0.45,129596972,3783494,-0.0161,0.3829,0
