xizmat_turi,mintaqa,sektor,kredit_ball,yosh,tajriba,oldingi_kreditlar,oldingi_defaultlar,moliyalash_miqdori,muddat_oy,foyda_stavkasi,ltv_nisbati,qarz_xizmat_nisbati,likvidlik,leverage,garov_sifati,sharia_audit,gharar_darajasi,maysir_ekspozitsiya,halal_sertifikat,bozor_volatilligi,yim_osishi,inflyatsiya,valyuta_tebranishi,neft_narxi,bank_indeksi,pd_qiymati,ead,lgd,kutilgan_zarar,default_holati,risk_darajasi,risk_kodi,xizmat_enc,mintaqa_enc,sektor_enc
Murabaha,Farg'ona,Ishlab chiqarish,572,33,17,1,0,109415,60,0.0794,0.7371,0.4721,0.7841,0.3843,3,0.8067,0.0883,0.0578,1,0.1255,0.0609,0.0759,0.0453,-0.2464,0.0336,0.2502,131123,0.3551,11650,0,Yuqori,2,1,1,1
Musharaka,Namangan,Savdo,448,34,16,6,2,62310,12,0.3442,0.9342,0.4988,0.8924,0.8226,4,0.9231,0.2802,0.0922,1,0.2657,0.0734,0.0856,0.0395,0.1308,0.0816,0.993,73033,0.6108,44297,1,Juda Yuqori,3,2,2,4
Murabaha,Samarqand,Savdo,503,41,7,2,0,253554,60,0.1658,0.7526,0.4312,0.7741,0.4745,1,0.7969,0.3413,0.0647,1,0.148,0.0529,0.0638,0.0396,0.0574,-0.0315,0.8168,358635,0.4063,119014,1,Juda Yuqori,3,1,4,4
Murabaha,Toshkent,Ishlab chiqarish,607,32,7,5,0,195412,24,0.1417,0.4512,0.2598,0.7656,0.6428,3,0.7248,0.1177,0.0815,1,0.134,0.0533,0.1051,0.0159,0.0328,-0.1993,0.1722,223095,0.3196,12273,0,O'rta,1,1,5,1
Murabaha,Farg'ona,Ishlab chiqarish,715,31,19,3,0,120284,24,0.1024,0.7341,0.2286,0.8571,0.583,3,0.7842,0.2075,0.1327,1,0.0995,0.0793,0.1126,0.0505,-0.0071,0.0155,0.1535,132597,0.4635,9433,1,O'rta,1,1,1,1
Musharaka,Samarqand,Savdo,583,59,5,1,0,37302,12,0.3529,0.511,0.3646,0.8658,0.2921,2,0.641,0.2856,0.0669,1,0.234,0.0706,0.1009,0.0714,-0.0253,0.0187,0.7797,43884,0.6349,21724,0,Juda Yuqori,3,2,4,4
Ijara,Toshkent,Ishlab chiqarish,571,27,5,0,0,23728,24,0.1047,0.6826,0.3805,0.7046,0.6294,2,0.9672,0.1656,0.1185,1,0.0939,0.0465,0.0897,0.0382,-0.16,0.0166,0.4199,26213,0.4315,4749,1,Yuqori,2,0,5,1
Murabaha,Buxoro,Qishloq xo'jaligi,794,30,7,2,0,50023,60,0.162,0.568,0.3417,0.6828,0.2897,3,0.9391,0.2345,0.1759,1,0.1248,0.0602,0.0744,0.0431,0.2432,-0.0775,0.1226,70284,0.4307,3710,0,O'rta,1,1,0,2
Musharaka,Samarqand,Qishloq xo'jaligi,630,39,17,1,0,10931,36,0.364,0.4544,0.268,0.689,0.1419,4,0.8646,0.1243,0.1046,1,0.2277,0.0706,0.1161,0.0186,0.1637,-0.1173,0.264,16899,0.704,3141,0,Yuqori,2,2,4,2
Musharaka,Toshkent,Xizmat,648,61,12,2,0,14534,84,0.3364,0.6013,0.1215,0.7166,0.655,4,0.6819,0.0893,0.0091,1,0.2127,0.0387,0.0818,0.0377,0.0658,-0.0241,0.1969,31646,0.629,3920,1,O'rta,1,2,5,5
Murabaha,Samarqand,Qurilish,564,26,20,4,1,55342,24,0.1097,0.5951,0.3348,0.913,0.3642,3,0.8261,0.3147,0.0603,1,0.1364,0.0809,0.0616,0.0333,-0.0903,0.0977,0.3562,61410,0.5106,11170,0,Yuqori,2,1,4,3
Musharaka,Buxoro,Ishlab chiqarish,576,58,22,2,1,107036,84,0.2776,0.8806,0.3209,0.401,0.3367,1,0.6684,0.2545,0.0428,1,0.2601,0.0602,0.1121,0.0776,0.0751,0.0518,0.983,211017,0.543,112637,1,Juda Yuqori,3,2,0,1
Murabaha,Namangan,Eksport,748,52,14,3,0,330485,36,0.1056,0.7975,0.633,0.599,0.633,4,0.8744,0.2967,0.0595,1,0.1171,0.0749,0.0812,0.0259,0.0718,-0.0862,0.5079,382827,0.4594,89337,0,Juda Yuqori,3,1,2,0
Murabaha,Farg'ona,Qurilish,630,34,22,3,1,44863,60,0.1635,0.6627,0.3233,0.7873,0.3174,5,0.8475,0.299,0.1138,1,0.1227,0.0675,0.0516,0.0297,0.1764,-0.1062,0.2331,63201,0.3855,5680,0,O'rta,1,1,1,3
Sukuk,Qashqadaryo,Qurilish,640,35,14,1,0,48959,60,0.0671,0.8081,0.218,0.4676,0.4212,5,0.8448,0.2006,0.137,1,0.1128,0.0531,0.1157,0.0264,-0.046,0.0223,0.0975,57172,0.3204,1787,0,Past,0,3,3,3
Sukuk,Namangan,Xizmat,772,25,22,0,0,596357,84,0.087,0.4792,0.2073,0.7572,0.4048,3,0.8045,0.1182,0.0088,1,0.109,0.064,0.0645,0.0969,0.0278,0.0861,0.009,777965,0.3204,2232,0,Past,0,3,2,5
Ijara,Farg'ona,Ishlab chiqarish,535,53,5,0,0,67642,84,0.1111,0.2152,0.5007,0.6503,0.1059,3,0.55,0.1376,0.4,1,0.0493,0.065,0.1144,0.0221,0.0949,0.0527,0.3435,93944,0.329,10617,0,Yuqori,2,0,1,1
Murabaha,Buxoro,Qurilish,602,49,19,0,0,173216,6,0.1157,0.4999,0.6136,0.6382,0.8379,2,0.7652,0.1118,0.1124,1,0.1165,0.0731,0.0787,0.0959,-0.2421,0.0748,0.7323,178226,0.4628,60397,0,Juda Yuqori,3,1,0,3
Murabaha,Buxoro,Qishloq xo'jaligi,614,55,3,1,0,427335,36,0.1796,0.6446,0.4049,0.3341,0.2681,3,0.891,0.1922,0.2343,1,0.1027,0.0301,0.1006,0.048,-0.0142,0.1195,0.4867,542471,0.5012,132340,1,Juda Yuqori,3,1,0,2
Ijara,Namangan,Qishloq xo'jaligi,655,56,1,3,0,63327,12,0.0789,0.4784,0.5439,0.8818,0.2975,5,0.9001,0.1299,0.2621,1,0.123,0.0627,0.1024,0.0662,-0.0346,0.0179,0.0791,65826,0.514,2676,0,Past,0,0,2,2
Musharaka,Namangan,Xizmat,645,31,24,3,0,49856,120,0.2268,0.4383,0.5877,0.7304,0.442,4,0.6479,0.2959,0.0381,1,0.2336,0.0507,0.1138,0.0322,0.0835,0.0665,0.696,106388,0.6006,44472,1,Juda Yuqori,3,2,2,5
Murabaha,Farg'ona,Eksport,468,45,11,3,0,15506,12,0.077,0.7347,0.2618,0.6649,0.6107,5,0.6618,0.4637,0.2037,1,0.1347,0.0451,0.0887,0.0045,0.1547,-0.0011,0.7333,16103,0.4193,4951,1,Juda Yuqori,3,1,1,0
Musharaka,Namangan,Eksport,689,36,3,4,1,140729,24,0.3216,0.6215,0.1725,0.8252,0.7953,3,0.6305,0.0745,0.1541,1,0.1964,0.0578,0.0772,0.0028,0.0362,0.0841,0.6256,185992,0.6299,73288,0,Juda Yuqori,3,2,2,0
Murabaha,Farg'ona,Savdo,699,54,1,5,1,50883,12,0.078,0.4882,0.1646,0.6675,0.8895,4,0.6974,0.1556,0.1057,1,0.1298,0.0269,0.0961,0.0438,-0.029,-0.0434,0.2085,52869,0.4192,4620,1,O'rta,1,1,1,4
Sukuk,Qashqadaryo,Ishlab chiqarish,670,40,12,2,0,321519,84,0.0664,0.6142,0.5722,0.6899,0.7372,2,0.8735,0.0373,0.121,1,0.0847,0.0466,0.1238,0.0151,0.0931,0.1346,0.3788,396244,0.18,27025,1,Yuqori,2,3,3,1
Murabaha,Namangan,Eksport,551,53,6,2,0,16863,12,0.1458,0.4939,0.339,0.813,0.4026,4,0.55,0.3142,0.1549,1,0.1451,0.0451,0.0911,0.1005,0.2629,-0.0375,0.4347,18092,0.416,3272,0,Yuqori,2,1,2,0
Ijara,Toshkent,Eksport,626,38,18,5,0,17671,84,0.0762,0.6691,0.3704,0.7448,0.4912,4,0.6236,0.2994,0.0741,1,0.0795,0.0741,0.073,0.0617,0.0646,0.1697,0.1994,22386,0.2755,1230,0,O'rta,1,0,5,0
Murabaha,Qashqadaryo,Savdo,518,25,11,5,0,44310,12,0.117,0.486,0.2308,0.7642,0.6825,1,0.8471,0.2669,0.1562,1,0.1259,0.0817,0.0723,0.0626,0.1145,-0.1101,0.6313,46902,0.5204,15409,1,Juda Yuqori,3,1,3,4
Musharaka,Toshkent,Qishloq xo'jaligi,649,55,9,4,0,114202,24,0.3088,0.8866,0.4368,0.7447,0.6333,4,0.8647,0.4943,0.3587,0,0.2457,0.0269,0.091,0.094,0.0741,-0.0291,0.9741,149465,0.7913,115207,1,Juda Yuqori,3,2,5,2
Musharaka,Buxoro,Ishlab chiqarish,677,60,24,1,0,254744,60,0.1476,0.3882,0.2606,0.4604,0.3659,3,0.55,0.3743,0.1847,1,0.2682,0.0869,0.0811,0.0136,0.0489,0.1316,0.7411,348746,0.6028,155795,1,Juda Yuqori,3,2,0,1
Murabaha,Samarqand,Ishlab chiqarish,636,43,12,2,0,75557,12,0.0712,0.4443,0.5225,0.8234,0.7083,3,0.6791,0.1574,0.056,0,0.0702,0.0744,0.0931,0.0721,0.032,0.1312,0.3764,78245,0.4634,13645,1,Yuqori,2,1,4,1
Sukuk,Toshkent,Xizmat,680,35,11,2,0,43268,24,0.0529,0.552,0.4614,0.5196,0.7956,5,0.55,0.05,0.0119,1,0.0746,0.0603,0.0739,0.0233,0.2898,-0.0188,0.1357,45557,0.2575,1592,0,O'rta,1,3,5,5
Ijara,Toshkent,Qurilish,653,52,15,0,0,46096,24,0.1185,0.4195,0.431,0.4748,0.2268,4,0.8852,0.0271,0.3196,0,0.0812,0.0283,0.087,0.046,-0.0765,-0.0217,0.1231,51561,0.2647,1681,0,O'rta,1,0,5,3
Sukuk,Farg'ona,Qishloq xo'jaligi,650,60,14,2,0,44019,120,0.0961,0.4868,0.396,0.9885,0.8671,3,0.8867,0.3266,0.1321,1,0.0888,0.0515,0.0985,0.0385,-0.2264,0.1274,0.2256,65182,0.306,4499,0,O'rta,1,3,1,2
Sukuk,Buxoro,Qurilish,492,38,7,3,0,13445,24,0.0912,0.5328,0.0981,0.5084,0.7352,3,0.7361,0.2961,0.1063,0,0.0215,0.0434,0.0896,0.0633,-0.0926,-0.0597,0.3167,14671,0.2323,1079,0,Yuqori,2,3,0,3
Musharaka,Toshkent,Savdo,550,41,6,3,1,136264,60,0.3337,0.5948,0.554,0.5863,0.4937,4,0.7546,0.048,0.167,1,0.2451,0.0526,0.0931,0.0766,-0.253,-0.0012,0.8749,249928,0.7088,154985,1,Juda Yuqori,3,2,5,4
Sukuk,Buxoro,Savdo,572,35,13,4,1,41927,60,0.0787,0.6758,0.6576,0.9238,0.8899,4,0.5672,0.2805,0.0635,1,0.0784,0.0372,0.0726,0.0243,-0.1449,0.0314,0.7171,50173,0.3054,10988,0,Juda Yuqori,3,3,0,4
Murabaha,Namangan,Savdo,695,46,15,2,0,103595,36,0.0743,0.2828,0.249,0.8644,0.1835,3,0.8753,0.1031,0.0767,1,0.1461,0.0612,0.0843,0.0575,-0.1154,0.1158,0.0124,115135,0.5478,784,0,Past,0,1,2,4
Murabaha,Toshkent,Xizmat,568,32,1,0,0,16973,12,0.0782,0.5423,0.4273,0.711,0.1776,3,0.8092,0.1812,0.2065,1,0.1138,0.0494,0.0824,0.0563,0.0193,0.0697,0.3191,17637,0.4987,2807,0,Yuqori,2,1,5,5
Murabaha,Qashqadaryo,Xizmat,554,46,11,3,0,62156,6,0.1306,0.8516,0.626,0.7355,0.2516,3,0.795,0.1484,0.1717,1,0.0906,0.0713,0.1118,0.086,0.0237,-0.0255,0.583,64185,0.3555,13303,0,Juda Yuqori,3,1,3,5
Murabaha,Namangan,Qurilish,738,39,23,2,0,22728,12,0.0762,0.4454,0.1784,0.8099,0.7072,2,0.7977,0.0697,0.0718,1,0.1304,0.0519,0.1045,0.0272,0.0126,0.0791,0.0769,23593,0.4804,872,0,Past,0,1,2,3
Murabaha,Farg'ona,Savdo,595,57,23,0,0,17516,6,0.1266,0.7282,0.2731,0.8426,0.1438,2,0.9876,0.0928,0.0312,1,0.1306,0.0505,0.0933,0.0848,-0.2065,0.0354,0.1036,18070,0.3879,726,1,O'rta,1,1,1,4
Murabaha,Toshkent,Qurilish,704,26,13,2,0,44926,12,0.1511,0.63,0.1691,0.6157,0.6218,3,0.7095,0.1431,0.0929,1,0.1031,0.0518,0.1158,0.0316,-0.0924,0.0223,0.1308,48321,0.5956,3766,0,O'rta,1,1,5,3
Ijara,Samarqand,Xizmat,616,62,12,5,0,40564,60,0.1129,0.4252,0.4235,0.7635,0.4457,3,0.8146,0.0625,0.0695,0,0.0994,0.0517,0.1232,0.0315,0.0175,0.0315,0.161,52016,0.4881,4088,0,O'rta,1,0,4,5
Murabaha,Namangan,Xizmat,702,47,12,2,0,26109,60,0.1184,0.6095,0.2657,0.5191,0.3328,5,0.6631,0.3012,0.1159,1,0.1162,0.0667,0.0855,0.0224,0.0132,-0.0116,0.1258,33839,0.4435,1889,0,O'rta,1,1,2,5
Murabaha,Buxoro,Qurilish,758,40,3,2,0,10155,12,0.1762,0.3405,0.3465,0.8969,0.2912,3,0.8533,0.1348,0.0736,1,0.1347,0.0641,0.1107,0.0444,0.231,0.0013,0.0363,11049,0.4469,179,0,Past,0,1,0,3
Musharaka,Namangan,Qishloq xo'jaligi,687,43,23,6,1,89538,120,0.1584,0.8164,0.4507,0.9049,0.5795,3,0.8637,0.1218,0.2236,0,0.2522,0.0434,0.1118,0.0593,0.3288,0.0603,0.9042,160471,0.6617,96001,1,Juda Yuqori,3,2,2,2
Murabaha,Samarqand,Xizmat,655,30,8,1,0,59805,12,0.0718,0.4926,0.3948,0.925,0.7825,1,0.6511,0.3163,0.0838,1,0.128,0.059,0.1025,0.0704,0.4076,0.1399,0.6488,61951,0.4252,17088,1,Juda Yuqori,3,1,4,5
Ijara,Qashqadaryo,Qurilish,523,28,16,6,1,36807,36,0.0935,0.854,0.5346,0.5422,0.6782,2,0.7232,0.0413,0.2686,1,0.0977,0.0681,0.0861,0.0465,0.0522,0.1798,0.9424,41971,0.3367,13317,1,Juda Yuqori,3,0,3,3
Murabaha,Farg'ona,Xizmat,655,60,4,2,0,54919,24,0.0866,0.6733,0.4236,0.8467,0.122,4,0.7421,0.4115,0.3346,1,0.1261,0.0604,0.0676,0.0106,0.1719,-0.101,0.3554,59677,0.3024,6415,0,Yuqori,2,1,1,5
Sukuk,Qashqadaryo,Savdo,712,36,23,4,1,29362,84,0.0634,0.9201,0.3311,0.7459,0.7138,1,0.8589,0.1836,0.0131,0,0.0224,0.0222,0.0985,0.0196,-0.2553,0.1684,0.5687,35874,0.338,6895,1,Juda Yuqori,3,3,3,4
Ijara,Buxoro,Eksport,570,30,16,4,0,13150,84,0.1138,0.7702,0.2465,0.5955,0.2253,4,0.6874,0.0943,0.2619,1,0.1089,0.0671,0.1193,0.0572,-0.1884,0.0243,0.3102,18388,0.2593,1479,0,Yuqori,2,0,0,0
Murabaha,Farg'ona,Qurilish,632,56,18,2,0,42801,36,0.1468,0.7716,0.5488,0.5976,0.4871,3,0.856,0.1848,0.1469,1,0.1461,0.0356,0.0823,0.024,-0.0049,0.0217,0.5687,52227,0.4731,14053,0,Juda Yuqori,3,1,1,3
Murabaha,Qashqadaryo,Xizmat,705,56,13,2,0,168841,36,0.1608,0.5568,0.456,0.6218,0.1519,5,0.8849,0.1971,0.2206,1,0.1315,0.066,0.1507,0.1092,-0.083,0.1699,0.1435,209560,0.3826,11506,0,O'rta,1,1,3,5
Ijara,Qashqadaryo,Eksport,656,38,20,1,0,121889,24,0.0854,0.6152,0.3107,0.8385,0.6985,4,0.6665,0.174,0.1661,1,0.054,0.0742,0.0866,0.0105,0.0155,-0.0318,0.1492,132303,0.3652,7211,0,O'rta,1,0,3,0
Ijara,Qashqadaryo,Eksport,587,41,5,1,0,82919,84,0.0924,0.4621,0.638,0.6072,0.5923,5,0.7224,0.1903,0.0505,1,0.1278,0.0565,0.1157,0.0501,-0.1337,0.0597,0.2876,109725,0.3468,10945,0,Yuqori,2,0,3,0
Ijara,Namangan,Ishlab chiqarish,526,39,20,3,1,12620,12,0.0722,0.4296,0.2681,0.7224,0.5477,5,0.5908,0.218,0.2416,1,0.1048,0.0529,0.0835,0.0368,0.1004,0.0128,0.3293,13075,0.2921,1258,1,Yuqori,2,0,2,1
Ijara,Buxoro,Eksport,645,23,19,3,0,69736,12,0.1274,0.6022,0.4848,0.5877,0.1423,3,0.869,0.1295,0.0097,1,0.0868,0.0706,0.055,0.0377,0.0521,-0.0334,0.1375,74178,0.3318,3383,0,O'rta,1,0,0,0
Murabaha,Qashqadaryo,Qurilish,767,45,3,2,0,152114,24,0.1,0.5465,0.3509,0.6143,0.7956,2,0.8398,0.0721,0.0537,1,0.1284,0.0813,0.1091,0.0184,-0.0185,0.0646,0.321,167318,0.5041,27073,0,Yuqori,2,1,3,3
Murabaha,Qashqadaryo,Qishloq xo'jaligi,622,62,10,0,0,279179,24,0.1362,0.8314,0.3792,0.5988,0.2198,3,0.9206,0.3342,0.165,1,0.1063,0.0597,0.1249,0.0625,0.3809,0.0859,0.5213,317209,0.4511,74588,0,Juda Yuqori,3,1,3,2
Murabaha,Samarqand,Qishloq xo'jaligi,613,38,22,1,0,9725,24,0.0929,0.7245,0.3671,0.8759,0.7388,3,0.9803,0.2309,0.1447,1,0.1272,0.0548,0.1233,0.0161,-0.0213,0.1399,0.4766,10628,0.4384,2221,1,Juda Yuqori,3,1,4,2
Sukuk,Samarqand,Xizmat,728,54,19,4,0,92282,120,0.0842,0.7958,0.4606,0.5047,0.878,3,0.7374,0.1836,0.0074,1,0.1066,0.0587,0.122,0.0006,-0.1198,-0.0484,0.5175,131152,0.4286,29094,1,Juda Yuqori,3,3,4,5
Musharaka,Samarqand,Xizmat,744,53,3,1,1,244932,12,0.3123,0.6079,0.2989,0.594,0.1479,3,0.8559,0.4238,0.0139,1,0.2039,0.0574,0.135,0.0746,-0.0513,0.0462,0.5559,283173,0.5828,91741,1,Juda Yuqori,3,2,4,5
Murabaha,Qashqadaryo,Savdo,740,60,17,3,0,127772,60,0.1391,0.8264,0.3846,0.6104,0.1663,3,0.866,0.3159,0.1038,1,0.1137,0.0223,0.066,0.0362,-0.1771,0.1035,0.2621,172197,0.4788,21607,0,Yuqori,2,1,3,4
Murabaha,Qashqadaryo,Qishloq xo'jaligi,674,32,20,3,0,45888,24,0.1413,0.5427,0.3781,0.8042,0.6776,4,0.7471,0.0705,0.2085,1,0.1013,0.0666,0.12,0.0457,-0.1445,0.1835,0.1321,52373,0.3332,2305,0,O'rta,1,1,3,2
Murabaha,Buxoro,Ishlab chiqarish,793,51,1,2,0,22422,60,0.1427,0.5088,0.6163,0.91,0.774,1,0.8252,0.337,0.0787,1,0.087,0.035,0.0816,0.0295,0.133,-0.0092,0.4467,30418,0.4011,5450,0,Yuqori,2,1,0,1
Murabaha,Buxoro,Savdo,612,49,19,4,0,88957,36,0.0951,0.7486,0.4255,0.5964,0.7907,1,0.7538,0.2583,0.2782,1,0.1429,0.0547,0.1458,0.0009,-0.1242,-0.1452,0.9704,101647,0.3744,36929,1,Juda Yuqori,3,1,0,4
Ijara,Buxoro,Qurilish,552,23,10,3,0,8541,36,0.0917,0.5852,0.1412,0.7285,0.1345,3,0.857,0.2357,0.1832,1,0.0816,0.0608,0.097,0.0915,0.0814,0.151,0.1073,9716,0.3363,351,1,O'rta,1,0,0,3
Musharaka,Qashqadaryo,Eksport,535,39,7,2,0,44688,24,0.2398,0.7867,0.4406,0.571,0.7031,2,0.6896,0.0308,0.4,0,0.2417,0.0718,0.0787,0.0254,0.1715,0.0365,0.9894,55405,0.5463,29946,1,Juda Yuqori,3,2,3,0
Sukuk,Toshkent,Qurilish,666,39,12,1,0,48370,84,0.0701,0.7934,0.3126,0.3501,0.7502,3,0.7578,0.1973,0.0312,1,0.1075,0.084,0.1043,0.0519,-0.0615,0.0099,0.4905,60236,0.2548,7529,0,Juda Yuqori,3,3,5,3
Musharaka,Samarqand,Savdo,636,37,1,2,0,96189,84,0.3188,0.4561,0.5143,0.7646,0.4841,1,0.7731,0.2348,0.1069,1,0.1974,0.0447,0.1396,0.0365,0.0418,0.1443,0.862,203519,0.4421,77559,1,Juda Yuqori,3,2,4,4
Murabaha,Toshkent,Qishloq xo'jaligi,703,45,6,2,0,48065,12,0.1776,0.3048,0.1437,0.5984,0.8735,5,0.7185,0.1351,0.0131,1,0.0971,0.0623,0.0902,0.0488,0.1247,-0.0586,0.0242,52334,0.5179,657,0,Past,0,1,5,2
Ijara,Qashqadaryo,Qishloq xo'jaligi,537,52,11,4,0,42113,12,0.091,0.4406,0.3269,0.6661,0.4631,2,0.7279,0.3356,0.0944,1,0.0554,0.0817,0.1112,0.0298,-0.022,0.1889,0.3984,44029,0.3628,6365,1,Yuqori,2,0,3,2
Ijara,Toshkent,Qurilish,761,49,21,1,0,69217,12,0.0741,0.8861,0.345,0.5611,0.2454,3,0.8815,0.036,0.0731,1,0.0532,0.0468,0.0827,0.0297,-0.038,-0.0108,0.0643,71782,0.2412,1113,0,Past,0,0,5,3
Musharaka,Namangan,Ishlab chiqarish,749,24,23,5,1,8270,84,0.3367,0.5601,0.089,0.8246,0.4068,3,0.55,0.0312,0.1061,0,0.2567,0.0329,0.0751,0.0785,0.0514,0.0081,0.4181,18017,0.7002,5274,0,Yuqori,2,2,2,1
Ijara,Qashqadaryo,Ishlab chiqarish,659,54,5,6,0,24179,12,0.0832,0.7553,0.2798,0.8975,0.6262,3,0.8582,0.1844,0.1792,1,0.134,0.0339,0.0926,0.052,0.1109,0.0536,0.1732,25185,0.358,1561,0,O'rta,1,0,3,1
